"","Canton_num","Days_Difference","Type_num","Customer_Segment_num","Category_num","Nr_rooms","Package_Product_num","GDP_2020_21","GDP_per","Population","Area_km2","Density","Size_m2","Price_Gross"
"318",3,19,1,2,1,3.5,2,149004,96359,1553423,1729,898,88,2695
"319",3,83,1,2,1,2,2,149004,96359,1553423,1729,898,55,1500
"320",3,3,1,1,1,3,1,149004,96359,1553423,1729,898,75,3250
"321",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,98,1000
"322",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,98,1000
"323",3,0,1,1,1,1.5,1,149004,96359,1553423,1729,898,42,600
"324",3,0,1,1,1,6.5,1,149004,96359,1553423,1729,898,183,6950
"325",3,20,1,2,1,5.5,2,149004,96359,1553423,1729,898,128,3225
"326",3,13,1,2,1,3.5,2,149004,96359,1553423,1729,898,85,1590
"327",3,1,1,1,1,1.5,1,149004,96359,1553423,1729,898,75,1350
"328",3,6,1,1,1,4,1,149004,96359,1553423,1729,898,101,1730
"329",3,120,1,1,1,4.5,1,149004,96359,1553423,1729,898,115,2580
"330",3,21,1,1,1,4,1,149004,96359,1553423,1729,898,72,1245
"331",3,0,1,1,1,4.5,1,149004,96359,1553423,1729,898,118,700
"332",3,40,1,2,1,3.5,2,149004,96359,1553423,1729,898,74,1805
"333",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,98,1000
"334",3,96.9583333333333,1,1,1,2.5,1,149004,96359,1553423,1729,898,64,1490
"335",3,47.9583333333333,1,2,1,4.5,2,149004,96359,1553423,1729,898,123,2190
"336",3,11,1,2,1,1,4,149004,96359,1553423,1729,898,37,1800
"337",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,100,950
"338",3,23,1,2,1,2.5,2,149004,96359,1553423,1729,898,80,1865
"339",3,11,1,2,1,2.5,4,149004,96359,1553423,1729,898,55,1504
"340",3,0,1,1,1,2.5,1,149004,96359,1553423,1729,898,66,900
"341",3,0,1,1,1,2.5,1,149004,96359,1553423,1729,898,65,920
"342",3,0,1,1,1,2.5,1,149004,96359,1553423,1729,898,66,900
"343",3,5.95833333333333,1,2,1,1,3,149004,96359,1553423,1729,898,24,1080
"344",3,49,1,1,1,3.5,1,149004,96359,1553423,1729,898,86,3550
"345",3,8,1,1,1,3.5,1,149004,96359,1553423,1729,898,102,2920
"346",3,0,1,1,1,2.5,1,149004,96359,1553423,1729,898,67,1000
"347",3,6,1,1,1,1,1,149004,96359,1553423,1729,898,34,1150
"348",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,98,700
"349",3,8,1,2,1,2.5,4,149004,96359,1553423,1729,898,69,1538
"350",3,0,1,1,1,2.5,1,149004,96359,1553423,1729,898,67,700
"351",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,98,800
"352",3,11,1,1,1,3,1,149004,96359,1553423,1729,898,118,3550
"353",3,9,1,1,1,3,1,149004,96359,1553423,1729,898,75,1475
